,"Seznam přijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,28. dubna 2019,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,Rozhodnutí,
,,za ZŠ,MAT ČJ VŠP,,,,
1.,8023,15,47,49,24,135,Přijat
2.,8021,15,49,46,24,134,Přijat
3.,8153,16,45,49,19,129,Přijat
4.,8112,15,46,45,22,128,Přijat
5.,8027,15,42,50,20,127,Přijat
6.,8046,15,48,43,20,126,Přijat
7.,8164,15,44,47,20,126,Přijat
8.,8156,15,42,48,21,126,Přijat
9.,8004,15,45,48,17,125,Přijat
10.,8031,15,46,45,19,125,Přijat
11.,8211,15,46,43,21,125,Přijat
12.,8280,15,43,45,22,125,Přijat
13.,8037,15,46,45,18,124,Přijat
14.,8105,15,41,45,22,123,Přijat
15.,8285,15,39,48,20,122,Přijat
16.,8005,15,45,44,17,121,Přijat
17.,8373,15,43,45,18,121,Přijat
18.,8185,15,39,45,22,121,Přijat
19.,8441,15,42,45,18,120,Přijat
20.,8222,14,45,41,20,120,Přijat
21.,8251,15,36,48,21,120,Přijat
22.,8200,15,38,45,22,120,Přijat
23.,8302,15,46,42,16,119,Přijat
24.,8390,15,49,37,18,119,Přijat
25.,8010,15,42,44,18,119,Přijat
26.,8007,15,43,43,17,118,Přijat
27.,8084,15,37,49,17,118,Přijat
28.,8100,15,39,40,24,118,Přijat
29.,8035,15,45,40,17,117,Přijat
30.,8001,15,44,40,18,117,Přijat
31.,8011,15,38,42,22,117,Přijat
32.,8430,15,42,46,13,116,Přijat
33.,8202,14,47,37,18,116,Přijat
34.,8230,15,46,35,20,116,Přijat
35.,8436,15,38,40,23,116,Přijat
36.,8188,15,44,40,16,115,Přijat
37.,8257,14,41,42,18,115,Přijat
38.,8237,13,39,44,19,115,Přijat
39.,8245,15,37,45,18,115,Přijat
40.,8184,15,42,39,19,115,Přijat
41.,8015,14,38,41,22,115,Přijat
42.,8107,15,39,38,23,115,Přijat
43.,8045,15,40,41,18,114,Přijat
44.,8377,15,38,40,21,114,Přijat
45.,8115,13,46,38,16,113,Přijat
46.,8123,14,37,42,20,113,Přijat
47.,8012,15,31,46,21,113,Přijat

,"Seznam přijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,28. dubna 2019,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,Rozhodnutí,
,,za ZŠ,MAT ČJ VŠP,,,,
48.,8270,15,43,40,14,112,Přijat
49.,8229,15,39,43,15,112,Přijat
50.,8106,15,40,40,17,112,Přijat
51.–52.,8234,14,39,40,19,112,Přijat
51.–52.,8235,15,39,40,18,112,Přijat
53.,8119,15,36,42,19,112,Přijat
54.,8129,11,42,38,20,111,Přijat
55.,8080,15,36,42,18,111,Přijat
56.,8039,15,35,43,18,111,Přijat
57.,8208,15,32,43,21,111,Přijat
58.,8379,15,35,39,22,111,Přijat
59.,8191,15,42,37,16,110,Přijat
60.,8335,15,38,41,16,110,Přijat
61.,8440,15,38,40,17,110,Přijat
62.,8312,15,35,42,18,110,Přijat
63.,8170,16,35,38,21,110,Přijat
64.,8277,15,39,39,16,109,Přijat
65.,8198,15,34,43,17,109,Přijat
66.,8160,15,37,39,18,109,Přijat
67.,8263,15,35,41,18,109,Přijat
68.,8155,15,36,39,19,109,Přijat
69.,8172,14,33,42,20,109,Přijat
70.,8051,15,42,32,20,109,Přijat
